452,25,103,5,relu,94,max,10,1,relu,8,swish,adagrad,mean_squared_error,350,3,3,1,1.107070381205519
304,12,75,2,relu,79,average,6,1,swish,10,linear,rmsprop,mean_absolute_percentage_error,230,2,2,4,0.8640705772123615
299,12,74,2,tanh,79,average,6,1,swish,10,linear,rmsprop,mean_absolute_percentage_error,226,2,2,4,0.755057875367104
238,16,68,1,linear,23,average,7,3,tanh,58,tanh,rmsprop,mean_squared_logarithmic_error,171,7,5,5,0.5640978509128032
231,21,68,2,tanh,24,average,7,3,swish,19,linear,rmsprop,mean_absolute_percentage_error,164,6,4,4,0.8767899354060278
148,17,36,3,sigmoid,39,average,7,1,sigmoid,5,sigmoid,sgd,mean_absolute_error,113,2,2,3,0.7607356064465821
344,21,78,3,tanh,48,average,7,2,sigmoid,16,linear,sgd,mean_absolute_percentage_error,267,5,4,3,0.8594653339733284
352,32,79,3,elu,103,average,9,1,linear,15,linear,rmsprop,mean_absolute_percentage_error,274,2,2,3,0.49924001435041987
388,38,88,1,elu,61,average,15,2,linear,142,elu,rmsprop,mean_absolute_percentage_error,301,4,3,5,0.4836903545869912
173,37,49,1,swish,16,average,9,2,tanh,241,elu,rmsprop,mean_squared_logarithmic_error,125,7,6,5,0.6557470156792901
765,34,254,3,elu,245,average,14,1,tanh,5,linear,rmsprop,mean_absolute_percentage_error,512,2,2,3,0.6120272395885622
799,34,259,3,elu,224,average,14,1,tanh,5,linear,rmsprop,mean_absolute_percentage_error,541,2,2,3,0.6182775680311211
776,32,230,3,elu,170,average,12,1,tanh,25,linear,rmsprop,mean_absolute_percentage_error,547,3,3,3,0.605007011319083
695,32,224,4,elu,167,average,10,1,tanh,7,tanh,rmsprop,mean_absolute_percentage_error,472,2,2,2,0.5140306760613836
699,28,199,4,elu,201,average,12,1,elu,13,tanh,rmsprop,mean_absolute_percentage_error,501,2,2,2,0.606960076682807
627,28,130,4,tanh,202,average,12,1,elu,13,swish,adam,mean_absolute_percentage_error,498,2,2,2,0.7305080383508148
612,25,127,3,tanh,121,average,8,1,tanh,19,swish,adam,mean_absolute_percentage_error,486,4,4,3,0.7483633838676811
267,19,71,2,linear,71,average,7,1,sigmoid,8,linear,rmsprop,mean_squared_error,197,2,2,4,0.8507382035933272
730,25,178,3,linear,120,average,8,1,tanh,19,linear,rmsprop,mean_absolute_percentage_error,553,4,4,3,0.6156835035850966
331,35,84,3,linear,89,average,14,1,sigmoid,29,tanh,rmsprop,mean_absolute_percentage_error,248,2,2,3,0.5951904086321802
728,23,171,3,relu,147,average,10,1,tanh,32,sigmoid,adagrad,mean_absolute_percentage_error,558,3,3,3,0.8772559631374062
266,36,71,3,linear,84,average,15,1,sigmoid,43,tanh,rmsprop,mean_absolute_percentage_error,196,2,2,3,0.733463766399784
422,36,94,3,linear,88,average,13,1,sigmoid,41,tanh,rmsprop,mean_absolute_percentage_error,329,3,3,3,0.5907284008915707
307,46,84,3,sigmoid,83,average,17,1,sigmoid,51,tanh,rmsprop,mean_absolute_percentage_error,224,2,2,3,0.5909519613953981
318,40,82,3,sigmoid,73,average,15,1,sigmoid,50,tanh,adadelta,mean_absolute_percentage_error,237,3,3,3,0.8237156709524652
210,31,64,5,tanh,66,max,11,1,tanh,11,linear,rmsprop,mean_absolute_error,147,2,2,1,0.7515974886236383
660,40,135,4,tanh,144,max,11,1,sigmoid,11,linear,rmsprop,mean_absolute_error,526,3,3,2,0.5556864196844248
344,30,87,4,elu,75,average,13,1,swish,24,relu,rmsprop,mean_squared_logarithmic_error,258,3,3,2,0.6394862858114361
365,30,87,4,elu,104,average,13,1,swish,31,relu,rmsprop,mean_squared_logarithmic_error,279,2,2,2,0.679260136671879
373,27,90,2,elu,108,average,12,1,tanh,17,linear,rmsprop,mean_absolute_percentage_error,284,2,2,4,0.5994548751192638
653,26,204,4,elu,176,average,12,1,elu,28,linear,rmsprop,mean_absolute_percentage_error,450,2,2,2,0.5972075698901474
661,22,204,4,elu,173,average,9,1,elu,7,linear,rmsprop,mean_absolute_percentage_error,458,2,2,2,0.4884907606805819
777,23,240,4,elu,162,average,9,1,elu,34,linear,rmsprop,mean_absolute_percentage_error,538,3,3,2,0.4861401098407085
789,19,241,3,swish,183,average,7,1,elu,35,linear,adagrad,mean_absolute_percentage_error,549,3,3,3,0.48211584753524955
748,18,151,3,tanh,188,average,7,1,relu,14,linear,adagrad,mean_absolute_percentage_error,598,3,3,3,0.7452230788348917
567,33,115,3,tanh,196,average,14,1,relu,21,linear,adadelta,mean_absolute_percentage_error,453,2,2,3,1.0000986349498493
