,win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,score
0,39,20,11,3,swish,12,average,5,1,sigmoid,13,sigmoid,adam,mean_absolute_percentage_error,0.7640384404079744
,win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,score
0,12,30,2,1,swish,3,max,11,3,elu,26,tanh,adam,mean_absolute_error,0.8032427305189037
,win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,score
0,24,20,7,3,relu,4,average,7,4,elu,7,relu,sgd,mean_absolute_error,0.8832315782748041
,win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,score
0,16,26,2,2,relu,1,max,5,7,tanh,171,tanh,adadelta,mean_squared_error,0.8415040986696597
,win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,score
0,21,18,5,2,elu,7,max,9,2,elu,8,linear,adadelta,mean_absolute_percentage_error,0.8053708928648706
,win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,score
0,24,29,8,2,swish,8,max,14,1,elu,109,elu,adam,mean_squared_error,0.9027425048065486
,win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,score
0,12,28,2,2,tanh,5,max,9,1,elu,30,sigmoid,adam,mean_absolute_percentage_error,0.7638285571804364
,win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,score
0,31,18,2,3,relu,6,average,7,1,relu,75,relu,adadelta,mean_absolute_percentage_error,0.8741068306999421
