Data_index,VAR_result (1 steps ahead),VAR_result (5 steps ahead),VAR_result (20 steps ahead)
0,0.013221981727353232,0.013563910250822452,0.01447986906599855
1,0.12683731235184278,0.15460049926807912,0.16453607658475058
2,0.00047512279886255295,0.0013383421835855339,0.004953481029050712
3,0.0065111474648643485,0.008404443296246017,0.008872584506459055
4,0.007841440928133098,0.00774376271937166,0.007674112548653478
5,0.004179221417920345,0.004903116776173604,0.009225158810303674
6,0.0033344831438380613,0.0059868092573649515,0.020858179197790164
7,0.001548121655929548,0.00242952743252514,0.008520686926423998
8,0.0031404488494001697,0.002979267816130711,0.00372159795766403
9,0.0020413413640447044,0.002537486668213319,0.006229309821773811
10,0.003361331925214741,0.00397095316892045,0.007761789756733675
11,0.007761993368127084,0.007607294148410132,0.007390913957645098
12,0.007162643627720784,0.008311059484899947,0.010037546031129227
13,0.005656478105103944,0.006194940563771175,0.006445701213313534
14,0.0037595588394148116,0.003525649122199705,0.004419111298151786
15,0.008435710604275615,0.006926954803188209,0.009044136654783583
16,0.00644199491133325,0.006303941052092224,0.006530688305293264
17,0.0055844884661932475,0.005317205045599672,0.00749496013531038
18,0.008500697959462886,0.010654397384638874,0.01415398542187657
19,0.2295076534220235,0.29215792945778907,0.4583431991857702
20,0.018662970760080784,0.019755115597930823,0.020152243553431166
21,0.006269274800028028,0.007343329211110448,0.008229649262241337
22,0.0018955386028193986,0.002065465849525649,0.003204751345394635
23,0.0056878035845697675,0.0059603877561433035,0.006779138206026786
24,0.02006694580094658,0.020913873874002474,0.02130062888007652
25,0.00182071235953286,0.0021255940234715166,0.002307250366958279
26,0.002379206525424782,0.002693579077407264,0.004235887326596077
27,0.007131005776943755,0.008262648650627626,0.0159477486933561
28,0.0027084219161712837,0.003076855770539416,0.0038728789636889357
29,0.0012078775675383841,0.0012228020309852361,0.001219568579582473
30,0.0037201741418753155,0.00328998625953081,0.004062753859153321
31,0.04243259455048279,0.047292266971959256,0.04909945483234272
32,0.009759131130462265,0.010205112466276567,0.010818573094851625
33,0.004782664841717843,0.00449408671022301,0.0045675239781014145
34,0.002539131016023874,0.003097084325271074,0.006586524593805182
35,0.004011291784500665,0.003761048859894819,0.005030650127137508
36,0.008175328329723338,0.007848208702981281,0.008652468721400335
37,0.004291828780266073,0.0050847819125777564,0.008926538621097567
38,0.002675418883984175,0.003124110716788101,0.004281665406559112
39,0.0243583820570882,0.02673127639344273,0.03087994940188072
40,0.003586791055260484,0.0028762246641477864,0.0026763954607702573
41,0.007938628455917588,0.009102662744614909,0.009523467887400036
42,0.0022761091612600024,0.0036742334127581994,0.009585578056720476
43,0.004501129317912335,0.005521497052692924,0.00863785909500011
44,0.0035721930658587967,0.004702396663216768,0.0053776050033458546
45,0.0021321968141263916,0.002127527252497695,0.004348632727407184
46,0.0046737785700156,0.006087068581797059,0.010879626463327779
47,0.007796454659145799,0.011097328116217615,0.020293950354725636
48,0.02255335386757094,0.025164891362185263,0.030525603166783405
49,0.008974683033189079,0.008807956950295025,0.01562745463401992
50,0.017549182687894384,0.020737621142412368,0.03137573127838707
51,0.0038659943264635127,0.007493343544834373,0.02652791469687072
52,0.003614582478983032,0.005038557332555946,0.011794767897764348
53,0.0017429261455339077,0.00210272770868672,0.0022838420253700124
54,0.3571002419554391,0.7345495769310838,1.9834729166683216
