win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,w2,w3,w4,h4,score
540,45,118,1,relu,161,max,19,1,linear,138,swish,rmsprop,mean_absolute_percentage_error,423,2,2,5,0.595648091550852
267,37,72,3,elu,9,average,16,6,sigmoid,496,elu,rmsprop,mean_squared_logarithmic_error,196,21,16,3,0.6359869195950799
332,42,90,2,swish,2,max,15,22,relu,754,relu,sgd,mean_squared_error,243,121,100,4,-1
192,42,47,2,swish,4,max,15,24,relu,751,relu,sgd,mean_squared_error,146,36,13,4,-1
309,41,79,2,swish,3,max,15,26,relu,649,relu,sgd,mean_squared_error,231,77,52,4,-1
311,42,87,2,swish,1,max,15,32,relu,1426,relu,sgd,mean_squared_error,225,225,194,4,-1
323,42,89,2,swish,2,max,15,25,relu,780,relu,sgd,mean_squared_error,235,117,93,4,-1
338,42,91,2,swish,2,max,15,30,relu,825,relu,sgd,mean_squared_error,248,124,95,4,-1
313,42,88,2,swish,1,max,15,38,relu,1260,relu,sgd,mean_squared_error,226,226,189,4,-1
407,44,97,2,swish,5,max,15,25,relu,826,relu,sgd,mean_squared_error,311,62,38,4,-1
357,47,88,2,tanh,15,max,18,17,relu,142,relu,sgd,mean_squared_error,270,18,2,4,0.8365716746295514
319,41,92,3,linear,5,max,17,28,relu,732,relu,sgd,mean_squared_error,228,45,18,3,-1
284,44,82,2,swish,4,max,13,27,relu,898,relu,sgd,mean_squared_error,203,50,24,4,-1
320,42,87,2,swish,1,max,15,58,relu,1511,relu,sgd,mean_squared_error,234,234,177,4,-1
382,42,90,2,swish,9,max,15,31,relu,117,relu,sgd,mean_squared_error,293,32,2,4,-1
251,46,71,2,swish,1,max,14,46,relu,1746,relu,sgd,mean_squared_error,181,181,136,4,3.2453768291307428e+16
300,50,85,2,swish,7,max,17,23,relu,543,relu,sgd,mean_squared_error,216,30,8,4,0.8475848317084168
343,44,94,3,relu,13,max,16,17,relu,143,relu,sgd,mean_squared_error,250,19,3,3,0.8199538321877334
376,41,100,2,swish,21,max,14,12,relu,100,relu,sgd,mean_squared_error,277,13,2,4,-1
448,48,107,2,swish,30,max,16,10,relu,126,relu,sgd,mean_squared_error,342,11,2,4,-1
297,40,89,3,swish,12,max,15,16,relu,84,relu,sgd,mean_squared_error,209,17,2,3,-1
336,43,84,2,sigmoid,7,max,13,21,relu,729,relu,sgd,mean_squared_error,253,36,16,4,0.8377147573422631
177,45,46,2,swish,3,max,15,34,relu,659,relu,sgd,mean_squared_error,132,44,11,4,0.7778273482649919
404,44,97,2,swish,15,max,15,19,relu,117,relu,sgd,mean_squared_error,308,20,2,4,-1
436,42,96,2,swish,24,max,15,13,relu,118,relu,sgd,mean_squared_error,341,14,2,4,-1
390,46,90,2,swish,1,max,16,74,relu,2966,relu,sgd,mean_squared_error,301,301,228,4,-1
277,38,78,2,swish,6,max,14,25,relu,503,relu,sgd,mean_squared_error,200,33,9,4,-1
479,41,102,2,swish,35,average,16,7,relu,255,relu,sgd,mean_squared_error,378,10,4,4,-1
254,45,81,2,elu,4,max,17,30,relu,950,relu,sgd,mean_squared_error,174,43,14,4,-1
413,43,91,2,swish,58,max,15,4,relu,118,relu,sgd,mean_squared_error,323,5,2,4,-1
369,40,95,2,linear,17,max,14,14,relu,167,relu,sgd,mean_squared_error,275,16,3,4,-1
336,37,86,2,swish,10,max,14,22,swish,223,relu,adam,mean_squared_error,251,25,4,4,0.8391354116496356
294,47,88,3,tanh,6,max,13,25,sigmoid,389,linear,adadelta,mean_squared_error,207,34,10,3,0.8612644367008441
316,41,93,4,linear,5,max,17,28,relu,577,relu,sgd,mean_squared_error,224,44,17,2,-1
319,42,92,4,linear,9,max,16,24,relu,60,relu,sgd,mean_squared_error,228,25,2,2,6521.727459916866
349,18,97,3,linear,13,max,8,18,relu,45,sigmoid,sgd,mean_squared_error,253,19,2,3,0.8566693330771352
251,44,62,2,linear,4,max,18,34,relu,784,relu,sgd,mean_squared_error,190,47,14,4,-1
397,39,92,2,swish,20,max,15,14,relu,119,relu,adagrad,mean_absolute_error,306,15,2,4,0.7866793321382376
212,43,54,3,relu,3,max,17,33,relu,1040,relu,sgd,mean_squared_error,159,53,21,3,-1
367,41,101,2,swish,76,average,16,2,linear,127,relu,sgd,mean_squared_error,267,3,2,4,-1
425,40,99,2,sigmoid,28,max,14,10,tanh,110,relu,sgd,mean_squared_error,327,11,2,4,0.5793925407115902
314,42,86,2,swish,8,max,19,26,relu,227,relu,sgd,mean_squared_error,229,28,3,4,-1
333,38,83,3,linear,1,max,15,42,relu,1291,relu,adadelta,mean_squared_error,251,251,210,3,0.8258198914341895
283,45,79,2,swish,5,max,13,27,relu,778,relu,sgd,mean_squared_error,205,41,15,4,2.6288196454996063e+20
299,44,82,2,swish,11,max,12,18,relu,89,relu,sgd,mean_squared_error,218,19,2,4,-1
273,48,88,2,swish,3,max,17,29,relu,897,relu,sgd,mean_squared_error,186,62,34,4,-1
147,43,35,2,swish,2,max,12,37,relu,735,relu,sgd,mean_squared_error,113,56,20,4,-1
262,46,84,2,swish,6,max,13,25,relu,259,linear,adam,mean_squared_error,179,29,5,4,0.8690488163206309
107,39,23,2,swish,2,max,15,27,swish,814,sigmoid,sgd,mean_absolute_error,85,42,16,4,0.6262118207356427
289,44,76,5,swish,14,max,14,14,relu,13,relu,sgd,mean_squared_error,214,15,2,1,1.0508106920755127
239,41,78,2,elu,4,max,16,23,sigmoid,659,relu,adagrad,mean_squared_error,162,40,18,4,0.8151507293935424
358,43,90,2,swish,18,max,14,11,relu,223,relu,sgd,mean_squared_error,269,14,4,4,-1
217,42,71,2,tanh,7,average,15,19,linear,178,relu,sgd,mean_squared_error,147,21,3,4,-1
309,23,86,2,swish,1,max,6,55,relu,1405,relu,sgd,mean_squared_error,224,224,170,4,-1
326,40,87,2,swish,11,max,15,19,relu,178,relu,sgd,mean_squared_error,240,21,3,4,-1
349,42,91,2,swish,8,max,16,26,relu,447,relu,sgd,mean_squared_error,259,32,7,4,-1
382,36,89,2,swish,83,max,15,2,relu,113,relu,sgd,mean_squared_error,294,3,2,4,-1
308,39,87,2,swish,1,max,15,153,relu,1140,relu,sgd,mean_squared_error,222,222,70,4,-1
190,45,49,2,swish,3,max,14,21,relu,1409,relu,sgd,mean_squared_error,142,47,27,4,-1
338,41,94,3,relu,10,max,16,22,tanh,142,relu,sgd,mean_squared_error,245,24,3,3,0.6875149435662896
286,42,89,2,swish,5,max,15,31,relu,538,relu,sgd,mean_squared_error,198,39,9,4,-1
265,13,85,2,swish,7,max,6,23,relu,67,elu,sgd,mean_squared_error,181,25,3,4,-1
325,43,91,2,sigmoid,13,max,13,7,relu,620,relu,adadelta,mean_squared_error,235,18,12,4,0.9474281552737366
383,44,90,2,swish,16,max,14,17,relu,103,relu,sgd,mean_squared_error,294,18,2,4,-1
372,41,93,2,swish,9,max,15,27,relu,299,relu,sgd,mean_squared_error,280,31,5,4,-1
351,40,92,2,swish,11,max,16,21,relu,155,relu,sgd,mean_squared_error,260,23,3,4,-1
413,46,105,2,swish,25,max,13,8,relu,259,relu,sgd,mean_squared_error,309,12,5,4,-1
308,42,87,2,swish,4,max,15,32,relu,1430,linear,sgd,mean_absolute_error,222,55,24,4,0.5153125711129236
395,45,84,2,swish,20,max,14,9,relu,390,relu,sgd,mean_squared_error,312,15,7,4,-1
459,44,95,2,linear,15,max,16,22,relu,190,sigmoid,adam,mean_squared_error,365,24,3,4,0.5446400785777982
360,43,98,2,swish,8,max,15,28,swish,299,relu,sgd,mean_squared_error,263,32,5,4,16037132431076.57
334,38,90,2,swish,6,average,15,30,relu,654,relu,adagrad,mean_squared_error,245,40,11,4,0.599891001772144
433,42,122,2,elu,110,max,14,1,relu,104,relu,sgd,mean_squared_error,312,2,2,4,-1
369,41,102,2,swish,42,max,14,4,relu,78,relu,sgd,mean_squared_error,268,6,3,4,-1
